板块名称		涨幅		1分钟涨速		4分钟涨速		主力净量		主力金额		涨停数		涨家数		跌家数		领涨股		5日涨幅		10日涨幅		20日涨幅		概念解析		创建日期		年初至今		20160127至今		量比		总手		总金额		总市值		流通市值		
华为鲲鹏	+7.41%		+0.02%		+0.02%		3.05		+8116481000	22		173		2		众诚科技	+13.45%		+17.33%		+19.61%		--		--		+16.11%		--		1.84		10246045500	211673750000	2353647400000	2120947700000
虚拟数字人	+7.22%		+0.02%		+0.02%		2.35		+8958260000	32		160		8		众诚科技	+14.04%		+18.78%		+19.64%		--		--		+11.17%		--		1.38		13541761000	242433320000	5041719600000	2704577300000
AI智能体	+7.15%		+0.02%		+0.02%		2.36		+18813350000	56		354		16		众诚科技	+13.93%		+19.22%		+20.84%		--		--		+11.14%		--		1.51		24264855000	476441430000	6677459600000	5869658500000
拼多多概念	+7.14%		+0.04%		+0.04%		3.18		+1129081200	6		37		3		美登科技	+14.08%		+18.14%		+21.35%		--		--		+15.98%		--		1.59		1702669700	33538414000	365151970000	315574580000
DRG/DIP		+6.97%		+0.02%		+0.02%		3.31		+789221300	3		21		1		迪安诊断	+14.95%		+17.70%		+19.80%		--		--		+12.60%		--		2.14		1708409400	24447642000	231547950000	213109090000
云办公		+6.84%		+0.01%		+0.01%		2.17		+2009667000	7		46		3		杰创智能	+13.81%		+19.10%		+18.95%		--		--		+17.18%		--		1.92		2545694800	52369970000	854036090000	763767080000
太赫兹		+6.83%		+0.05%		+0.05%		4.48		+2127356500	5		20		1		天银机电	+16.52%		+21.28%		+33.77%		--		--		+12.92%		--		1.02		2981863100	70976375000	722468640000	623800010000
卫星导航	+6.69%		+0.04%		+0.04%		1.43		+5374249000	35		246		11		星图测控	+16.64%		+21.92%		+31.03%		--		--		+18.57%		--		1.29		17963388000	468863440000	5078565900000	4444394000000
云计算		+6.64%		+0.02%		+0.02%		0.85		+6155654000	28		206		10		众诚科技	+13.34%		+17.72%		+19.34%		--		--		+11.00%		+88.73%		1.69		15580776000	294411130000	7640836700000	5145069100000
知识产权保护	+6.61%		+0.01%		+0.01%		3.31		+2733190800	11		46		5		流金科技	+11.90%		+15.19%		+15.68%		--		--		+8.87%		--		1.49		3059375300	39032764000	525783210000	490293920000
空间计算	+6.58%		+0.02%		+0.02%		0.98		+673948100	7		57		5		众诚科技	+14.02%		+18.13%		+20.08%		--		--		+17.31%		--		1.66		2293780100	43164910000	624525560000	524812460000
时空大数据	+6.50%		+0.01%		+0.01%		0.39		+553094300	6		62		1		天润科技	+14.18%		+17.95%		+20.30%		--		--		+16.35%		--		1.60		5419258800	79199359000	737690960000	661177280000
智慧政务	+6.50%		+0.02%		+0.02%		1.00		+6038561000	20		201		11		众诚科技	+12.13%		+16.57%		+18.00%		--		--		+9.50%		--		1.80		12253260400	239246600000	2849384600000	2585269000000
数字水印	+6.47%		+0.01%		+0.01%		1.61		+746102400	3		28		1		星环科技-U	+13.10%		+15.00%		+19.37%		--		--		+10.21%		--		1.55		1552042800	21816665000	269490590000	244720320000
抖音概念(字节概念)	+6.46%		+0.04%		+0.04%		2.09		+4820311000	29		188		14		美登科技	+12.98%		+17.40%		+18.45%		--		--		+10.97%		--		1.34		14824801000	297979650000	4423616800000	3961022900000
数据要素	+6.44%		+0.02%		+0.02%		1.24		+13762276000	51		367		17		众诚科技	+12.82%		+16.23%		+17.97%		--		--		+10.36%		--		1.61		22785538000	393148860000	8368019200000	5516599400000
数据确权	+6.36%		+0.01%		+0.01%		2.89		+3260082600	9		66		2		杰创智能	+11.35%		+15.31%		+16.17%		--		--		+13.47%		--		1.79		3732703100	57715677000	769803260000	724788420000
商业航天	+6.31%		+0.03%		+0.03%		0.35		-989152000	50		393		26		天润科技	+16.34%		+21.76%		+32.75%		--		--		+13.67%		--		1.25		29241613000	754129110000	9824063700000	8596280700000
鸿蒙概念	+6.26%		+0.02%		+0.03%		3.56		+12518482000	28		250		8		众诚科技	+11.36%		+15.52%		+17.16%		--		--		+14.36%		--		1.64		14526432000	277595060000	4060306700000	3507546500000
数据安全	+6.25%		+0.03%		+0.03%		0.94		+5691980000	18		162		9		众诚科技	+12.50%		+17.41%		+19.08%		--		--		+15.40%		--		1.69		11301658900	230405950000	3196133000000	2941012300000
NFT概念		+6.20%		+0.03%		+0.03%		2.55		+3107136000	14		65		6		蓝色光标	+12.00%		+16.06%		+17.54%		--		--		+14.88%		--		1.47		7003512100	95398491000	1071019700000	975352700000
互联网保险	+6.10%		+0.02%		+0.02%		1.53		+717462000	1		17		3		卫宁健康	+13.20%		+16.18%		+18.90%		--		--		+16.80%		--		1.69		2342061000	61907889000	3586766900000	2546921900000
百度概念	+6.09%		+0.02%		+0.02%		2.58		+10528027000	34		209		19		并行科技	+12.66%		+16.86%		+19.09%		--		--		+10.37%		--		1.34		17843105000	322958720000	4752168000000	4395276000000
6G概念		+6.05%		+0.04%		+0.04%		0.94		+4834594000	19		83		5		流金科技	+14.53%		+20.31%		+29.28%		--		--		+13.26%		--		1.13		6469267800	188697410000	5388063500000	3001635200000
云游戏		+6.00%		+0.07%		+0.07%		3.29		+1547096000	3		25		2		顺网科技	+11.29%		+19.16%		+22.03%		--		--		+11.72%		--		1.72		3266805400	47452273000	717296440000	666602920000
在线教育	+5.99%		+0.02%		+0.02%		0.77		+3051759800	17		119		9		并行科技	+11.18%		+15.21%		+15.52%		--		--		+9.06%		--		1.71		10577879800	167687480000	1767790200000	1531878600000
电子身份证	+5.98%		-0.01%		-0.01%		3.25		+1648172200	3		40		0		拓尔思		+10.34%		+15.77%		+18.13%		--		--		+11.71%		--		1.75		1770358500	34563425000	432435660000	383885720000
阿里巴巴概念	+5.90%		+0.03%		+0.03%		2.47		+12558655000	44		305		27		并行科技	+12.36%		+16.04%		+18.53%		--		--		+10.48%		--		1.44		25084418000	477198290000	7458553200000	6825483600000
元宇宙		+5.68%		+0.03%		+0.03%		1.15		+5601803000	18		159		21		众诚科技	+11.95%		+16.65%		+18.33%		--		--		+10.50%		--		1.54		15515583000	281133260000	5463490500000	3094860900000
腾讯概念	+5.68%		+0.03%		+0.03%		1.61		+7141385000	37		267		18		流金科技	+11.71%		+15.92%		+17.83%		--		--		+14.46%		--		1.34		21795450000	398751140000	5973974800000	5441306500000
手机游戏	+5.60%		+0.03%		+0.03%		1.31		+1905630000	6		54		5		昆仑万维	+11.39%		+15.26%		+15.90%		--		--		+14.34%		--		1.78		5411452700	80041121000	1101062920000	994122220000
网络游戏	+5.54%		+0.02%		+0.02%		2.99		+4016729400	10		58		8		昆仑万维	+12.16%		+17.63%		+18.27%		--		--		+11.59%		--		1.58		7288229000	101640391000	1430810600000	1332826600000
区块链		+5.54%		+0.01%		+0.01%		1.97		+16216749000	30		244		16		科大国创	+10.73%		+14.12%		+15.70%		--		--		+12.92%		--		1.39		20254650000	336473460000	5743817900000	5168932100000
中国AI 50	+5.50%		+0.01%		+0.01%		1.16		+1627801000	7		42		8		汉得信息	+10.72%		+16.19%		+20.44%		--		--		+9.35%		--		1.55		4125002600	219912500000	9225153600000	6006046800000
文化传媒概念	+5.50%		+0.03%		+0.04%		1.26		+5827084000	32		175		19		流金科技	+11.19%		+15.01%		+14.76%		--		--		+9.55%		--		1.33		14950285000	171056150000	2324268600000	2115240900000
量子科技	+5.32%		+0.04%		+0.04%		0.49		+2934831000	9		91		9		富士达		+12.15%		+16.07%		+20.25%		--		--		+10.67%		--		1.40		6370741400	165264050000	5419830300000	2981155600000
语音技术	+5.32%		+0.03%		+0.04%		2.84		+3123124900	3		61		3		杰创智能	+8.51%		+13.32%		+15.19%		--		--		+12.92%		--		1.70		3349263900	74993512000	1174358700000	966623250000
蚂蚁集团概念	+5.29%		+0.01%		+0.01%		1.14		+2415435500	7		71		9		拓尔思		+10.38%		+13.63%		+16.14%		--		--		+11.98%		--		1.61		5788987800	98129841000	2557163400000	2181573400000
移动支付	+5.18%		+0.02%		+0.02%		0.44		+1709482500	5		72		4		路桥信息	+8.76%		+13.02%		+15.72%		--		--		+4.58%		+102.55%	1.58		4471915800	79208628000	3451739700000	1240787530000
人脸识别	+5.11%		+0.03%		+0.03%		0.13		+906832300	4		103		7		杰创智能	+10.02%		+14.26%		+16.59%		--		--		+12.13%		--		1.61		4947095000	103235392000	1633785000000	1456064800000
军民融合	+5.06%		+0.03%		+0.03%		1.59		+6838584000	27		220		20		流金科技	+12.83%		+16.94%		+24.74%		--		--		+10.74%		--		1.20		15800998000	356835540000	4706456300000	4189883100000
电子竞技	+5.00%		+0.05%		+0.05%		0.74		+445583800	3		31		3		顺网科技	+9.78%		+12.71%		+16.12%		--		--		+12.91%		--		1.70		2297802400	35719483000	695709540000	625134690000
跨境支付(CIPS)	+5.00%		-0.00%		-0.00%		0.18		+2134576000	4		68		3		易点天下	+8.24%		+11.59%		+14.94%		--		--		+8.44%		--		1.44		5946368500	94872472000	13847719000000	9264158700000
DeepSeek概念	+4.95%		+0.02%		+0.03%		0.90		+18748781000	67		682		67		众诚科技	+10.31%		+13.44%		+15.63%		--		--		+8.79%		--		1.45		43188393000	810130110000	19847810000000	15277009000000
星闪概念	+4.92%		+0.03%		+0.03%		2.95		+2702973300	4		73		2		金卡智能	+8.91%		+12.09%		+15.45%		--		--		+7.88%		--		1.62		3391696800	86880432000	1619244400000	1362411200000
算力租赁	+4.92%		+0.01%		+0.01%		0.11		+49887000	10		142		13		并行科技	+11.25%		+14.41%		+14.07%		--		--		+10.09%		--		1.80		11672772400	191808230000	3710412200000	3469226200000
人工智能	+4.90%		+0.03%		+0.03%		1.09		+22259461000	95		925		96		众诚科技	+10.65%		+14.26%		+17.03%		--		--		+9.81%		--		1.41		54657662000	1093963010000	22785459000000	17802264000000
职业教育	+4.84%		+0.02%		+0.02%		0.94		+1483466800	13		123		9		众诚科技	+9.88%		+11.98%		+13.51%		--		--		+11.64%		--		1.51		8607033300	106143569000	1247765110000	1125875020000
同花顺新质50	+4.83%		+0.01%		+0.01%		0.03		-2225539000	8		40		10		万兴科技	+11.96%		+19.74%		+24.84%		--		--		+11.58%		--		1.23		3449909500	206147240000	6800997700000	6559468500000
数字经济	+4.81%		+0.02%		+0.02%		1.43		+8039291000	54		442		45		众诚科技	+9.76%		+12.43%		+14.61%		--		--		+7.90%		--		1.41		26027988000	471003280000	7716053300000	6863399700000
国产航母	+4.76%		+0.03%		+0.03%		0.59		+2431668700	4		34		2		海兰信		+15.88%		+20.80%		+29.28%		--		--		+15.12%		--		1.17		3460484200	83273892000	1463124600000	1402637600000
脑机接口	+4.75%		-0.02%		-0.02%		3.35		+3296103200	3		63		5		道氏技术	+12.24%		+27.97%		+33.38%		--		--		+22.40%		--		1.27		5977905200	127678258000	1432974100000	1280739260000
智慧城市	+4.74%		+0.02%		+0.02%		0.64		+6724861000	31		375		38		众诚科技	+10.07%		+12.52%		+14.79%		--		--		+11.93%		+66.51%		1.53		22548884000	391903940000	6846378900000	6392955600000
大飞机		+4.69%		+0.03%		+0.03%		1.20		+3886760000	11		130		14		华力创通	+12.06%		+16.83%		+26.81%		--		--		+10.15%		--		1.22		10308004900	228339800000	3621254700000	3160884700000
独角兽概念	+4.68%		+0.03%		+0.03%		-0.15		-1657481000	15		95		15		华力创通	+10.59%		+12.95%		+15.58%		--		--		+10.13%		--		1.05		7628161200	160797210000	3584121700000	2826892900000
互联网金融	+4.67%		+0.03%		+0.03%		2.08		+9491430000	16		185		27		同辉信息	+8.93%		+11.04%		+13.77%		--		--		+6.15%		--		1.56		12763256300	218717740000	3863384600000	3439683000000
航空发动机	+4.66%		+0.02%		+0.02%		3.50		+2456798300	6		88		7		铂力特		+12.24%		+16.76%		+26.76%		--		--		+10.05%		--		1.22		5703829800	135582110000	1924984800000	1762815100000
车联网(车路协同)	+4.63%		+0.03%		+0.03%		1.05		+7504952000	19		267		22		路桥信息	+10.15%		+13.69%		+17.92%		--		--		+12.04%		--		1.46		15617731000	347353780000	6844477400000	5548102200000
国资云		+4.61%		+0.02%		+0.02%		0.13		+1644879400	5		52		0		川网传媒	+9.04%		+12.31%		+12.12%		--		--		+7.66%		--		1.58		4037526200	58204372000	3888991900000	1695397400000
数字孪生	+4.58%		+0.04%		+0.04%		-0.26		+683580000	13		172		17		众诚科技	+10.26%		+12.64%		+15.57%		--		--		+12.31%		--		1.57		8942322600	172879370000	2756601500000	2432778100000
成飞概念	+4.50%		+0.05%		+0.05%		2.21		+899461100	2		39		4		华力创通	+10.80%		+12.38%		+21.89%		--		--		+7.62%		--		1.19		2243371800	50638277000	729255180000	480409820000
WiFi 6		+4.48%		+0.04%		+0.04%		1.14		+1188148300	3		52		6		广和通		+9.41%		+13.16%		+18.73%		--		--		+12.32%		--		1.22		2132701200	73161406000	1122846290000	1002109300000
虚拟现实	+4.47%		+0.02%		+0.02%		0.78		+3574687000	18		248		33		众诚科技	+9.51%		+12.92%		+15.21%		--		--		+12.19%		--		1.43		19804001000	403510560000	7175321500000	6496844100000
网红经济	+4.46%		+0.02%		+0.02%		0.49		+1590201500	16		105		10		蓝色光标	+9.49%		+11.31%		+14.20%		--		--		+11.23%		--		1.40		7835712600	101397893000	1099891870000	960145950000
东数西算(算力)	+4.45%		+0.02%		+0.02%		0.37		+2376152000	25		301		47		众诚科技	+10.88%		+13.96%		+15.64%		--		--		+10.10%		--		1.51		23407618000	538709800000	11769238300000	8685393200000
MR(混合现实)	+4.39%		+0.03%		+0.03%		0.05		-538610700	2		58		10		同辉信息	+9.59%		+13.13%		+17.11%		--		--		+12.41%		--		1.40		4452210100	100033244000	1477476000000	1344756400000
军工		+4.33%		+0.03%		+0.03%		0.13		-1219886000	44		519		68		流金科技	+11.70%		+14.71%		+21.91%		--		--		+10.05%		--		1.25		33131763000	756159920000	10484813100000	9274587800000
IP经济(谷子经济)	+4.31%		+0.04%		+0.04%		0.32		+2414436300	18		169		20		中文在线	+9.00%		+10.29%		+12.19%		--		--		+7.39%		--		1.61		12661207400	131557265000	2070151200000	1864553100000
家庭医生	+4.29%		-0.03%		-0.03%		1.49		-831226000	3		23		4		卫宁健康	+10.14%		+11.53%		+14.86%		--		--		+13.43%		--		1.55		1995282100	43799267000	1688248600000	1140614880000
智能医疗	+4.24%		+0.02%		+0.02%		1.71		+11606991000	22		267		40		众诚科技	+9.76%		+13.64%		+15.98%		--		--		+11.21%		--		1.45		15801840000	304865380000	5497648900000	4915507000000
低空经济	+4.19%		+0.02%		+0.02%		0.10		+1374340000	28		412		48		流金科技	+10.01%		+13.98%		+19.58%		--		--		+8.79%		--		1.29		25773564000	575264170000	9506526000000	8308017900000
无人机		+4.14%		+0.03%		+0.03%		0.50		+694027000	22		392		40		富士达		+10.02%		+13.51%		+19.48%		--		--		+8.74%		--		1.29		22712728000	562770970000	8530961100000	7378805600000
可控核聚变	+4.11%		+0.02%		+0.02%		-0.38		-3656863000	7		91		10		天力复合	+14.14%		+15.87%		+27.29%		--		--		+13.43%		--		1.36		9863489700	168942200000	2632282800000	2438486600000
无人零售	+4.09%		-0.02%		-0.02%		0.33		+211846660	0		24		1		熵基科技	+7.45%		+9.02%		+12.62%		--		--		+8.57%		--		1.56		1823402300	18133945000	245644060000	212156260000
华为概念	+4.07%		+0.02%		+0.03%		0.71		+6976945000	75		838		142		众诚科技	+9.24%		+11.99%		+15.82%		--		--		+8.38%		--		1.32		51885360000	1094943920000	20216893000000	17994172000000
ETC		+4.05%		+0.03%		+0.03%		-0.00		+301374600	2		36		5		科大国创	+8.74%		+11.33%		+15.41%		--		--		+10.28%		--		1.51		2000697700	27516604000	459201700000	416556270000
安防		+4.04%		+0.02%		+0.02%		-0.68		-802929200	4		151		21		杰创智能	+8.52%		+11.88%		+15.16%		--		--		+8.13%		--		1.55		8474674900	160470000000	2524612000000	2221321100000
华为海思概念股	+4.00%		+0.06%		+0.06%		5.32		+2790921400	3		44		5		卓易信息	+8.58%		+10.70%		+15.52%		--		--		+8.41%		--		1.80		2127100000	71671437000	1262496340000	1151247220000
毫米波雷达	+3.99%		+0.03%		+0.03%		0.63		-1510017000	9		106		16		流金科技	+8.86%		+12.16%		+19.17%		--		--		+8.71%		--		1.33		6473338000	175106940000	3083212400000	2773481000000
智慧灯杆	+3.96%		+0.04%		+0.04%		0.36		+454839800	4		59		5		杰创智能	+9.78%		+10.10%		+13.02%		--		--		+11.26%		--		1.42		2401251300	33677116000	517591190000	437657630000
高压氧舱	+3.89%		+0.03%		+0.03%		-1.71		-831266620	0		10		1		盈康生命	+13.32%		+18.81%		+23.90%		--		--		+16.96%		--		1.35		551921640	11126188700	153320300000	149020760000
AI手机		+3.89%		+0.03%		+0.03%		3.03		+1309803000	2		29		5		铂力特		+6.67%		+9.08%		+11.44%		--		--		+6.26%		--		1.41		2240519600	84594177000	1585508200000	1471073300000
C2M概念		+3.88%		+0.02%		+0.02%		2.47		+1320972700	3		34		5		汉得信息	+7.18%		+10.73%		+15.49%		--		--		+8.58%		--		1.65		1569794500	22855286000	348012580000	316179520000
物联网		+3.85%		+0.03%		+0.03%		0.75		+4137226000	21		407		44		信科移动-U	+8.45%		+11.20%		+14.35%		--		--		+7.68%		+104.27%	1.34		24027990000	480632510000	11019979600000	9147620400000
AI PC		+3.74%		+0.04%		+0.04%		6.45		+1703688100	4		40		8		星环科技-U	+7.93%		+11.95%		+17.91%		--		--		+7.67%		--		1.29		3286219900	98395973000	1738879000000	1507312900000
核污染防治	+3.68%		+0.04%		+0.04%		-0.12		-174069700	3		53		5		中钢洛耐	+9.47%		+12.30%		+16.71%		--		--		+11.63%		--		1.21		2918048200	41796541000	937701010000	804384030000
机器视觉	+3.58%		+0.03%		+0.03%		0.26		+933165000	3		208		32		信科移动-U	+8.21%		+11.03%		+15.88%		--		--		+7.30%		--		1.10		7644917300	202443900000	4320998200000	3743082200000
足球概念	+3.51%		+0.01%		+0.01%		-0.16		+297074120	3		32		2		流金科技	+7.21%		+8.35%		+9.77%		--		--		+5.83%		--		1.74		1151186390	14334915000	837783930000	790700980000
体育产业	+3.42%		+0.03%		+0.03%		0.62		+2308016300	10		114		13		流金科技	+6.91%		+7.93%		+9.59%		--		--		+8.40%		--		1.33		5821332700	62554830000	1403256500000	1274357720000
碳纤维		+3.41%		+0.03%		+0.03%		-1.68		-2619272800	3		63		11		新劲刚		+8.69%		+12.93%		+20.89%		--		--		+7.30%		--		1.39		4097934300	85603770000	1425871100000	1328746550000
5G		+3.39%		+0.03%		+0.03%		-0.24		-8376813000	31		360		78		流金科技	+8.25%		+10.61%		+15.14%		--		--		+8.26%		--		1.31		23574914000	613552830000	14182348000000	11005159300000
工业互联网	+3.35%		+0.03%		+0.03%		-0.05		-3164861000	23		347		58		普元信息	+7.83%		+10.67%		+14.24%		--		--		+7.06%		--		1.34		23723657000	451175330000	10528667200000	9506034600000
京津冀一体化	+3.34%		+0.03%		+0.03%		-0.08		+1901352000	21		226		39		同辉信息	+8.42%		+10.80%		+13.89%		--		--		+10.22%		--		1.32		15573427000	233455380000	3858005800000	3471112300000
电力物联网	+3.33%		+0.04%		+0.04%		0.18		+1198066500	2		74		7		金现代		+8.17%		+9.55%		+11.97%		--		--		+7.50%		--		1.51		2912882100	51458898000	1187016030000	1039154310000
托育服务	+3.26%		+0.02%		+0.02%		0.91		+330301730	0		12		4		豆神教育	+5.24%		+6.34%		+9.25%		--		--		+3.59%		--		1.67		1129928630	14779485000	164598890000	143777830000
PM2.5		+3.22%		+0.05%		+0.05%		-0.28		+20292990	0		32		4		蓝盾光电	+6.82%		+8.54%		+16.57%		--		--		+9.83%		--		1.21		1116878480	16723798000	221243570000	195594720000
飞行汽车(eVTOL)	+3.16%		+0.03%		+0.03%		-1.01		-2940367000	5		105		19		并行科技	+7.64%		+10.57%		+17.31%		--		--		+6.70%		--		1.29		4996262800	128112726000	2602946500000	2351251200000
英伟达概念	+3.15%		+0.04%		+0.04%		0.87		-2218215600	2		57		15		青云科技-U	+7.52%		+10.68%		+16.34%		--		--		+8.36%		--		1.55		3838559500	146598980000	3981202700000	3682061100000
光纤概念	+3.12%		+0.03%		+0.03%		-0.05		-1821695700	2		68		16		昀冢科技	+9.16%		+9.81%		+16.02%		--		--		+9.35%		--		1.15		5279059800	135289820000	2468259200000	2259280800000
AI眼镜		+3.11%		+0.02%		+0.02%		0.16		+1226716000	3		156		22		广和通		+6.30%		+9.03%		+11.59%		--		--		+6.59%		--		1.15		8048827100	221075320000	4888856000000	4303292000000
网约车		+3.09%		+0.00%		+0.00%		0.50		+385651210	0		26		2		银禧科技	+6.05%		+6.31%		+8.69%		--		--		+6.00%		--		1.29		1405446000	17112896000	657555330000	558750980000
无人驾驶	+3.06%		+0.03%		+0.03%		1.11		+1298309000	16		333		55		华力创通	+7.57%		+10.07%		+15.61%		--		--		+6.99%		--		1.21		18016738000	442851950000	10514589300000	8899915400000
3D打印		+3.03%		+0.03%		+0.03%		0.34		-876595600	4		104		23		铂力特		+7.64%		+10.57%		+17.06%		--		--		+7.70%		--		1.21		5294160300	143876320000	2363322600000	2074117000000
超导概念	+3.01%		-0.01%		-0.01%		-2.35		-2476204900	2		26		3		西部超导	+10.65%		+14.10%		+21.50%		--		--		+12.88%		--		1.27		2716127000	53947855000	813354570000	597837060000
食品安全	+3.01%		+0.02%		+0.02%		-1.68		-17621000	2		70		10		三维天地	+7.08%		+8.72%		+10.53%		--		--		+9.48%		--		1.75		3305721900	41242920000	699570980000	620730230000
化债概念(AMC概念)	+3.00%		+0.00%		+0.00%		-0.21		+259883600	2		36		4		通达海		+6.93%		+7.74%		+8.95%		--		--		+5.91%		--		1.48		2678591600	27601401000	597899540000	555013810000
智能座舱	+3.00%		+0.03%		+0.03%		-0.11		-362713000	2		131		27		广和通		+6.90%		+9.65%		+14.80%		--		--		+6.37%		--		1.22		7353463700	208242310000	4714077600000	4119698700000
芯片概念	+2.99%		+0.02%		+0.02%		0.13		-11042135000	39		652		178		众诚科技	+8.58%		+11.08%		+16.92%		--		--		+9.24%		--		1.15		36721277000	1080071780000	25482436000000	20920968000000
养老概念	+2.98%		+0.03%		+0.03%		0.15		+2605968300	8		164		36		科大国创	+7.48%		+9.18%		+11.23%		--		--		+8.17%		--		1.40		10603560000	132341144000	2702318700000	2441341000000
新型工业化	+2.97%		+0.03%		+0.03%		-0.24		-748746000	9		251		29		杰创智能	+7.32%		+10.41%		+14.42%		--		--		+6.52%		--		1.43		8941500000	215632860000	3965909300000	3493732800000
电子纸		+2.90%		+0.03%		+0.03%		-0.14		+33036300	0		22		2		海目星		+9.16%		+10.93%		+11.44%		--		--		+8.17%		--		1.04		2024866300	17415752000	439485910000	390657520000
机器人概念	+2.90%		+0.02%		+0.02%		0.29		+20525000	34		948		185		路桥信息	+7.01%		+9.76%		+14.03%		--		--		+8.85%		--		1.32		46439849000	1023288860000	23865339000000	20229412000000
传感器		+2.89%		+0.03%		+0.03%		1.76		+332789000	5		218		38		康众医疗	+7.28%		+9.53%		+14.66%		--		--		+9.40%		--		1.23		9715242400	239841130000	4721365100000	3919752500000
创投		+2.88%		+0.02%		+0.02%		0.05		-2285826000	34		362		79		蓝色光标	+7.39%		+9.27%		+12.92%		--		--		+7.19%		--		1.21		26499299000	436224870000	9385540700000	8788754200000
烟草		+2.87%		+0.00%		+0.00%		1.43		+117905480	0		33		6		朗进科技	+6.37%		+6.92%		+11.52%		--		--		+7.41%		--		1.62		718861840	12531613000	271372960000	235905020000
小米概念	+2.86%		+0.02%		+0.02%		0.63		+1468545000	17		298		61		拓尔思		+6.55%		+9.17%		+12.95%		--		--		+8.92%		--		1.08		15262143000	393687990000	8166753300000	7169579300000
智能电网	+2.86%		+0.04%		+0.04%		-0.31		-2540563000	10		214		43		杰创智能	+8.18%		+8.82%		+12.20%		--		--		+8.26%		+121.97%	1.35		11495197800	206919870000	4783508900000	4185004000000
跨境电商	+2.84%		+0.02%		+0.02%		0.57		+2296655000	19		277		53		蓝色光标	+6.11%		+6.60%		+9.55%		--		--		+5.49%		--		1.23		14375833000	196935750000	4352345900000	3570990500000
海工装备	+2.83%		+0.02%		+0.02%		-0.14		-3602801000	15		209		49		天力复合	+9.29%		+10.80%		+16.76%		--		--		+8.67%		--		1.03		14854163000	284086790000	6234586500000	4224096300000
牙科医疗	+2.82%		+0.02%		+0.02%		1.54		+292256900	2		22		5		银邦股份	+6.88%		+10.45%		+13.99%		--		--		+12.19%		--		0.98		1107764950	19372893000	363478150000	311346750000
信托概念	+2.73%		+0.04%		+0.04%		0.18		+225020730	3		22		1		德龙汇能	+6.74%		+5.22%		+11.54%		--		--		+7.40%		--		1.38		1606459900	13552469000	919996990000	899248140000
