代码		    名称		涨幅		现价		当日成交额		3日成交额		5日成交额		换手		量比		流通市值		连续涨停天数		涨停原因类别		所属行业		所属概念		涨停开板次数		几天几板		10日涨幅		20日涨幅		竞价涨幅%		早盘竞价金额		尾盘竞价金额
SZ000707	双环科技	-0.63%		6.26		--		--		--		2.53%		1.34		--		--		--		化学原料	--		--		--		+1.29%		+1.13%		+0.00		1069740		555888
SZ000708	中信特钢	+0.13%		15.87		--		--		--		0.24%		0.72		--		--		--		钢铁		--		--		--		+0.95%		+6.08%		-0.32		342860		2648703
SZ000709	河钢股份	+0.00%		2.39		--		--		--		1.01%		0.97		--		--		--		钢铁		--		--		--		+3.46%		+5.75%		+0.00		839624		2405296
SZ000710	贝瑞基因	+4.44%		12.22		--		--		--		5.09%		1.39		--		--		--		医疗服务	--		--		--		+8.33%		+6.72%		-0.43		387945		2105506
SZ000711	ST京蓝		-0.58%		1.71		--		--		--		1.18%		0.58		--		--		--		环境治理	--		--		--		-0.58%		-0.58%		-0.58		1779084		3045202
SZ000712	锦龙股份	-1.51%		12.41		--		--		--		2.53%		1.24		--		--		--		证券		--		--		--		+5.17%		-2.13%		-0.71		2114190		8244844
SZ000713	国投丰乐	+0.30%		6.76		--		--		--		1.06%		0.81		--		--		--		种植业与林业	--		--		--		+0.30%		-1.74%		+0.00		244258		1168804
SZ000715	中兴商业	-0.16%		6.16		--		--		--		4.06%		0.94		--		--		--		零售		--		--		--		-9.68%		-4.50%		-0.16		258720		983752
SZ000716	黑芝麻		+0.48%		6.29		--		--		--		3.10%		0.91		--		--		--		食品加工制造	--		--		--		-2.93%		+1.13%		-0.64		852140		2277609
SZ000717	中南股份	+1.54%		2.63		--		--		--		1.17%		1.01		--		--		--		钢铁		--		--		--		+1.15%		+2.73%		-0.39		129516		772431
SZ000718	苏宁环球	+2.14%		2.39		--		--		--		2.21%		1.16		--		--		--		房地产		--		--		--		+3.46%		+0.42%		-0.43		806413		2300853
SZ000719	中原传媒	+0.08%		12.12		--		--		--		0.71%		0.56		--		--		--		文化传媒	--		--		--		+2.71%		+1.25%		-0.25		420384		506616
SZ000720	新能泰山	+1.22%		3.33		--		--		--		1.30%		1.09		--		--		--		电网设备	--		--		--		-2.92%		-5.13%		-0.30		301432		589077
SZ000721	西安饮食	-0.44%		9.13		--		--		--		3.19%		0.88		--		--		--		旅游及酒店	--		--		--		-0.87%		-3.59%		-0.76		1263990		3031160
SZ000722	湖南发展	+0.83%		12.08		--		--		--		1.62%		1.02		--		--		--		电力		--		--		--		+2.81%		+0.17%		+0.08		280566		878216
SZ000723	美锦能源	-1.21%		4.91		--		--		--		2.11%		1.15		--		--		--		煤炭开采加工	--		--		--		+5.82%		+2.51%		+0.00		5332313		3065063
SZ000725	京东方Ａ	-0.23%		4.35		--		--		--		1.85%		0.60		--		--		--		光学光电子	--		--		--		+7.67%		+4.32%		-0.23		14014395	25013370
SZ000726	鲁  泰Ａ	-0.28%		7.15		--		--		--		1.30%		0.96		--		--		--		纺织制造	--		--		--		+0.42%		+1.56%		+0.28		153147		491920
SZ000727	冠捷科技	+1.15%		2.63		--		--		--		1.53%		0.84		--		--		--		光学光电子	--		--		--		+2.33%		-9.00%		+0.00		759980		4005753
SZ000728	国元证券	-1.73%		8.51		--		--		--		1.13%		1.10		--		--		--		证券		--		--		--		+2.65%		+2.90%		-0.69		1981440		2917347
SZ000729	燕京啤酒	-0.33%		12.17		--		--		--		1.24%		0.79		--		--		--		饮料制造	--		--		--		+1.93%		-0.73%		-0.41		696768		2712693
SZ000731	四川美丰	+0.15%		6.68		--		--		--		0.82%		0.88		--		--		--		农化制品	--		--		--		+1.52%		+1.98%		+0.15		134936		785568
SZ000733	振华科技	+3.99%		56.62		--		--		--		5.58%		1.29		--		--		--		军工电子	--		--		--		+12.68%		+16.89%		-0.46		2460680		13022600
SZ000735	罗 牛 山	-0.58%		8.64		--		--		--		5.49%		0.68		--		--		--		养殖业		--		--		--		-17.48%		-2.81%		-0.92		3508575		7898688
SZ000736	*ST中地		+1.99%		5.65		--		--		--		1.28%		0.98		--		--		--		房地产		--		--		--		+5.02%		-1.57%		-0.54		154831		1531150
SZ000737	北方铜业	-1.02%		15.53		--		--		--		4.24%		0.81		--		--		--		工业金属	--		--		--		+7.10%		+4.09%		-1.34		8154864		9470194
SZ000738	航发控制	+3.76%		22.91		--		--		--		4.47%		1.33		--		--		--		军工装备	--		--		--		+14.32%		+20.52%		-0.36		5282200		11491656
SZ000739	普洛药业	-0.97%		16.30		--		--		--		0.67%		1.10		--		--		--		化学制药	--		--		--		-2.51%		+2.32%		+0.00		429606		2386320
SZ000750	国海证券	-1.16%		4.27		--		--		--		1.42%		0.96		--		--		--		证券		--		--		--		+1.43%		+0.95%		-0.46		3034510		4216202
SZ000751	锌业股份	-1.17%		4.23		--		--		--		4.67%		1.00		--		--		--		工业金属	--		--		--		+4.96%		+7.91%		-0.70		2246125		1625589
SZ000752	ST西发		-1.85%		10.64		--		--		--		1.53%		1.36		--		--		--		饮料制造	--		--		--		-6.83%		-13.85%		+0.00		22764		374528
SZ000753	漳州发展	-2.01%		7.79		--		--		--		4.74%		1.07		--		--		--		综合		--		--		--		-8.68%		-13.78%		-0.25		1589965		4251782
SZ000755	山西高速	-1.20%		4.96		--		--		--		0.74%		1.25		--		--		--		公路铁路运输	--		--		--		-4.25%		-5.88%		+0.00		301702		619504
SZ000756	新华制药	+1.26%		16.03		--		--		--		3.18%		1.21		--		--		--		化学制药	--		--		--		+2.36%		-3.67%		+0.00		1497518		4590992
SZ000757	浩物股份	+1.86%		4.92		--		--		--		2.01%		1.25		--		--		--		汽车服务及其他	--		--		--		-1.20%		-1.99%		+0.00		88389		295200
SZ000758	中色股份	-0.87%		6.84		--		--		--		3.64%		0.96		--		--		--		工业金属	--		--		--		+8.40%		+12.13%		-1.16		2484526		1925460
SZ000759	中百集团	+1.29%		7.87		--		--		--		13.20%		1.22		--		--		--		零售		--		--		--		-11.67%		+1.94%		-0.90		2299990		9512469
SZ000761	本钢板材	+1.20%		3.38		--		--		--		0.34%		0.92		--		--		--		钢铁		--		--		--		+2.42%		+4.00%		+0.30		79060		402558
SZ000762	西藏矿业	-1.42%		27.70		--		--		--		6.08%		1.24		--		--		--		能源金属	--		--		--		+2.90%		+9.01%		+0.00		4760140		5276850
SZ000766	通化金马	-4.34%		25.10		--		--		--		3.93%		2.05		--		--		--		化学制药	--		--		--		-12.05%		-11.56%		+2.13		20997800	5861779
SZ000767	晋控电力	+0.71%		2.85		--		--		--		1.00%		0.97		--		--		--		电力		--		--		--		+0.00%		-0.35%		+0.00		250172		1635045
SZ000768	中航西飞	+5.60%		29.80		--		--		--		4.63%		1.82		--		--		--		军工装备	--		--		--		+22.53%		+25.26%		-0.46		14486013	24695260
SZ000776	广发证券	-3.89%		22.26		--		--		--		2.19%		1.70		--		--		--		证券		--		--		--		+1.60%		+5.20%		-1.21		7918768		14189459
SZ000777	中核科技	+2.20%		28.34		--		--		--		16.59%		1.29		--		--		--		通用设备	--		--		--		+35.47%		+37.04%		-0.83		15540250	15116613
SZ000778	新兴铸管	-0.47%		4.24		--		--		--		1.43%		1.19		--		--		--		钢铁		--		--		--		+3.41%		+6.00%		-0.70		1506303		1554808
SZ000779	甘咨询		+1.20%		8.45		--		--		--		0.74%		0.96		--		--		--		建筑装饰	--		--		--		+1.08%		-2.20%		+0.00		86005		380250
SZ000782	恒申新材	+0.39%		5.16		--		--		--		3.94%		0.97		--		--		--		化学纤维	--		--		--		+2.58%		-1.90%		+1.17		1255280		1291548
SZ000783	长江证券	-3.31%		8.46		--		--		--		2.34%		1.31		--		--		--		证券		--		--		--		+4.32%		+3.68%		-1.03		5743312		10344846
SZ000785	居然智家	+0.34%		2.96		--		--		--		0.94%		0.98		--		--		--		零售		--		--		--		-3.58%		-7.50%		-0.68		748322		4800824
SZ000786	北新建材	+1.97%		25.86		--		--		--		1.30%		1.31		--		--		--		建筑材料	--		--		--		+4.44%		+6.07%		-0.04		2149680		2311884
SZ000788	北大医药	+2.18%		6.55		--		--		--		5.01%		1.12		--		--		--		化学制药	--		--		--		+2.99%		-8.65%		+0.31		534976		2926540
SZ000789	万年青		+0.19%		5.37		--		--		--		0.56%		0.86		--		--		--		建筑材料	--		--		--		+0.19%		-1.65%		+0.00		12864		126195
SZ000790	华神科技	+0.77%		3.92		--		--		--		1.84%		0.88		--		--		--		中药		--		--		--		-1.51%		-7.55%		-0.26		103208		177184
SZ000791	甘肃能源	-0.76%		6.50		--		--		--		1.02%		1.35		--		--		--		电力		--		--		--		-2.40%		-1.07%		-0.15		122952		1671800
SZ000792	盐湖股份	-2.24%		31.47		--		--		--		2.65%		1.05		--		--		--		农化制品	--		--		--		+10.81%		+25.23%		+0.34		38104310	23857407
SZ000793	ST华闻		+0.00%		2.70		--		--		--		1.38%		1.40		--		--		--		文化传媒	--		--		--		-5.59%		-7.53%		+0.37		215987		909900
SZ000795	英洛华		-0.20%		10.18		--		--		--		1.91%		1.29		--		--		--		金属新材料	--		--		--		+4.20%		+1.60%		-0.98		2795680		1947434
SZ000796	凯撒旅业	-0.75%		6.60		--		--		--		6.67%		0.59		--		--		--		旅游及酒店	--		--		--		-7.43%		-4.90%		-0.45		2371946		6814500
SZ000797	中国武夷	+0.79%		3.85		--		--		--		6.93%		1.23		--		--		--		房地产		--		--		--		-4.23%		-10.26%		-0.52		1516960		4530992
SZ000798	中水渔业	-3.14%		11.43		--		--		--		13.99%		1.91		--		--		--		养殖业		--		--		--		+2.88%		-3.46%		-0.08		23352453	14450949
SZ000799	酒鬼酒		+0.66%		56.54		--		--		--		2.42%		1.02		--		--		--		白酒		--		--		--		+2.91%		+2.82%		-0.52		1776984		7265390
SZ000800	一汽解放	+0.00%		6.81		--		--		--		0.27%		0.99		--		--		--		汽车整车	--		--		--		+0.15%		-2.58%		+0.00		297597		682362
SZ000801	四川九洲	+3.44%		17.76		--		--		--		4.66%		1.54		--		--		--		黑色家电	--		--		--		+5.09%		+9.36%		-0.23		930159		9840816
SZ000802	北京文化	+0.44%		4.56		--		--		--		3.40%		0.70		--		--		--		影视院线	--		--		--		-4.00%		-5.59%		-0.22		224688		1496136
SZ000803	山高环能	+0.38%		7.83		--		--		--		3.61%		0.71		--		--		--		环境治理	--		--		--		+11.70%		+17.39%		-1.03		484044		2409291
SZ000807	云铝股份	-1.89%		33.14		--		--		--		2.08%		1.00		--		--		--		工业金属	--		--		--		+12.57%		+22.33%		-1.75		25559486	19849336
SZ000809	和展能源	+0.88%		3.43		--		--		--		3.35%		0.51		--		--		--		风电设备	--		--		--		+4.57%		+1.18%		+0.29		629145		2754976
SZ000810	创维数字	+0.57%		12.35		--		--		--		1.09%		0.57		--		--		--		黑色家电	--		--		--		+9.68%		+4.66%		+0.00		598036		1221415
SZ000811	冰轮环境	-0.55%		16.41		--		--		--		4.39%		0.81		--		--		--		通用设备	--		--		--		-2.38%		-4.70%		-1.27		2827944		4108408
SZ000812	陕西金叶	+0.42%		4.73		--		--		--		3.08%		0.78		--		--		--		包装印刷	--		--		--		-4.06%		-9.04%		-0.42		316575		1240679
SZ000813	德展健康	+1.79%		3.97		--		--		--		1.60%		1.52		--		--		--		化学制药	--		--		--		+0.00%		+1.02%		+0.00		248040		477194
SZ000815	美利云		+3.31%		11.87		--		--		--		3.61%		2.12		--		--		--		通信服务	--		--		--		+8.01%		+2.86%		+0.09		770500		2838117
SZ000816	智慧农业	+1.10%		3.68		--		--		--		4.80%		0.55		--		--		--		通用设备	--		--		--		+0.55%		-5.15%		-0.55		949888		2714736
SZ000818	航锦科技	+2.04%		20.48		--		--		--		2.97%		1.22		--		--		--		化学原料	--		--		--		+9.64%		+2.45%		+0.05		740952		4542464
SZ000819	岳阳兴长	+1.99%		16.44		--		--		--		2.45%		1.46		--		--		--		石油加工贸易	--		--		--		-2.32%		+0.49%		+0.00		359476		2355852
SZ000820	*ST节能		+5.03%		3.55		--		--		--		2.77%		1.81		--		--		--		环保设备	--		--		--		+4.72%		+5.03%		+0.00		27040		57865
SZ000821	京山轻机	+2.97%		14.21		--		--		--		8.25%		1.67		--		--		--		光伏设备	--		--		--		+13.95%		+10.67%		-0.72		1749490		9188186
SZ000822	山东海化	-0.71%		5.63		--		--		--		1.88%		1.06		--		--		--		化学原料	--		--		--		+6.43%		+5.04%		-1.06		1054119		675600
SZ000823	超声电子	-0.21%		14.11		--		--		--		4.85%		1.17		--		--		--		元件		--		--		--		+2.92%		-11.59%		-0.42		1202432		2783903
SZ000825	太钢不锈	+1.68%		5.44		--		--		--		3.96%		1.64		--		--		--		钢铁		--		--		--		+9.24%		+24.77%		-0.93		6915440		7868416
SZ000826	启迪环境	+0.89%		2.27		--		--		--		2.40%		0.65		--		--		--		环境治理	--		--		--		+0.00%		-0.44%		-0.44		283494		1013328
SZ000828	东莞控股	-0.91%		10.83		--		--		--		0.66%		0.98		--		--		--		公路铁路运输	--		--		--		-0.09%		-1.72%		-0.09		135408		810084
SZ000829	天音控股	+3.00%		11.00		--		--		--		3.75%		1.33		--		--		--		零售		--		--		--		+3.29%		+2.14%		-0.47		649493		9090400
SZ000830	鲁西化工	-0.87%		17.09		--		--		--		1.76%		1.16		--		--		--		化学原料	--		--		--		+11.99%		+15.63%		-0.12		1170960		2124287
SZ000831	中国稀土	-2.66%		50.06		--		--		--		4.76%		1.25		--		--		--		小金属		--		--		--		+10.02%		+6.97%		-0.99		27522260	19293474
SZ000833	粤桂股份	-1.06%		20.47		--		--		--		7.58%		0.75		--		--		--		综合		--		--		--		+9.17%		-1.49%		-1.16		7428872		6163517
SZ000837	秦川机床	+1.84%		13.28		--		--		--		3.06%		1.03		--		--		--		通用设备	--		--		--		+10.02%		+6.07%		+0.46		1713428		2787472
SZ000838	财信发展	+3.18%		3.24		--		--		--		5.96%		1.79		--		--		--		房地产		--		--		--		+4.85%		-10.50%		-0.32		421611		1539324
SZ000839	国安股份	-0.37%		2.67		--		--		--		0.87%		0.97		--		--		--		通信服务	--		--		--		+2.30%		-0.74%		-0.37		574851		1183344
SZ000848	承德露露	-0.35%		8.53		--		--		--		0.74%		0.84		--		--		--		饮料制造	--		--		--		-1.61%		+0.12%		-0.12		200925		889679
SZ000850	华茂股份	+4.00%		5.72		--		--		--		3.59%		1.32		--		--		--		纺织制造	--		--		--		+12.16%		+21.96%		-0.55		731886		5408832
SZ000852	石化机械	+2.76%		7.45		--		--		--		4.10%		1.53		--		--		--		专用设备	--		--		--		+3.04%		+3.91%		-0.28		610935		3651990
SZ000856	冀东装备	+1.99%		10.26		--		--		--		2.35%		1.06		--		--		--		专用设备	--		--		--		+3.01%		-3.30%		-0.10		157785		349866
SZ000858	五 粮 液	-0.58%		106.90		--		--		--		0.33%		0.72		--		--		--		白酒		--		--		--		-2.57%		-1.29%		-0.13		4821362		16836750
SZ000859	国风新材	+3.94%		12.93		--		--		--		33.80%		1.94		--		--		--		塑料制品	--		--		--		+22.44%		+42.72%		+9.97		258596925	48509352
SZ000860	顺鑫农业	+0.20%		14.82		--		--		--		0.79%		1.05		--		--		--		白酒		--		--		--		+0.61%		-0.80%		-0.27		553125		2089620
SZ000862	银星能源	+0.67%		6.05		--		--		--		3.26%		1.20		--		--		--		电力		--		--		--		+0.83%		+5.77%		-1.66		5327865		1170675
SZ000863	三湘印象	+6.48%		6.41		--		--		--		7.47%		0.86		--		--		--		房地产		--		--		--		+19.59%		+39.35%		-0.66		1311414		5288224
SZ000868	安凯客车	+0.40%		5.05		--		--		--		1.32%		0.69		--		--		--		汽车整车	--		--		--		+3.06%		-0.79%		+0.00		13078		512575
SZ000869	张  裕Ａ	+0.34%		20.78		--		--		--		0.21%		0.93		--		--		--		饮料制造	--		--		--		+0.58%		+0.78%		+0.39		81081		261828
SZ000875	吉电股份	+0.35%		5.66		--		--		--		1.35%		1.23		--		--		--		电力		--		--		--		+1.25%		+2.17%		+0.00		281436		3030930
SZ000876	新 希 望	+0.43%		9.27		--		--		--		0.42%		0.78		--		--		--		农产品加工	--		--		--		+1.53%		+2.77%		-0.11		564264		1760373
SZ000877	天山股份	+0.55%		5.49		--		--		--		0.24%		1.03		--		--		--		建筑材料	--		--		--		+2.04%		-0.72%		+0.00		479934		520452
SZ000878	云南铜业	+0.48%		20.82		--		--		--		5.31%		0.80		--		--		--		工业金属	--		--		--		+15.03%		+16.97%		-1.25		24478344	14189621
SZ000880	潍柴重机	+3.96%		30.70		--		--		--		24.02%		3.13		--		--		--		通用设备	--		--		--		+16.51%		+9.60%		+5.08		28085874	15429820
SZ000881	中广核技	+2.51%		9.38		--		--		--		5.67%		1.77		--		--		--		化学制品	--		--		--		+10.48%		+6.59%		-0.55		2891070		2682680
SZ000882	华联股份	+0.00%		2.06		--		--		--		3.65%		0.99		--		--		--		零售		--		--		--		-6.36%		-1.44%		-0.49		1501420		2512582
SZ000883	湖北能源	-0.22%		4.56		--		--		--		0.35%		1.13		--		--		--		电力		--		--		--		-1.08%		-0.44%		+0.00		276485		694944
SZ000885	城发环境	+0.36%		13.94		--		--		--		0.55%		0.72		--		--		--		环境治理	--		--		--		+1.60%		+2.50%		+0.43		655650		207706
SZ000886	海南高速	+0.31%		6.49		--		--		--		3.38%		0.67		--		--		--		公路铁路运输	--		--		--		-12.53%		-12.53%		+0.00		1330879		3257331
SZ000887	中鼎股份	-1.59%		22.86		--		--		--		3.08%		0.92		--		--		--		汽车零部件	--		--		--		+4.62%		+5.06%		-0.22		3217384		10245852
SZ000888	峨眉山Ａ	-0.08%		13.25		--		--		--		2.14%		0.73		--		--		--		旅游及酒店	--		--		--		+1.77%		+4.58%		-0.53		596188		1185875
SZ000889	中嘉博创	+0.85%		3.57		--		--		--		1.77%		1.01		--		--		--		通信服务	--		--		--		+1.13%		-3.77%		-0.56		111232		686154
SZ000890	法尔胜		-1.49%		5.29		--		--		--		9.51%		1.19		--		--		--		环保设备	--		--		--		-2.04%		+18.61%		-0.93		1784328		3668086
SZ000892	欢瑞世纪	+5.36%		7.66		--		--		--		12.15%		1.54		--		--		--		影视院线	--		--		--		+10.53%		-2.92%		-0.69		1092386		9683006
SZ000893	亚钾国际	-3.59%		51.27		--		--		--		1.69%		1.12		--		--		--		农化制品	--		--		--		+8.42%		+12.26%		-0.32		3546369		3829869
SZ000895	双汇发展	-0.42%		25.88		--		--		--		0.24%		0.70		--		--		--		食品加工制造	--		--		--		-3.76%		-2.19%		-0.15		892680		1837480
SZ000897	津滨发展	+0.87%		2.32		--		--		--		2.38%		1.69		--		--		--		房地产		--		--		--		+1.31%		-4.53%		+0.00		143980		972544
SZ000898	鞍钢股份	+0.78%		2.57		--		--		--		0.55%		1.28		--		--		--		钢铁		--		--		--		+2.80%		+4.05%		-0.39		311404		1600339
SZ000899	赣能股份	+0.39%		10.19		--		--		--		1.22%		1.11		--		--		--		电力		--		--		--		+1.09%		+3.03%		+0.20		808515		798896
SZ000900	现代投资	+0.24%		4.11		--		--		--		0.60%		0.78		--		--		--		公路铁路运输	--		--		--		-0.48%		-3.29%		+0.00		103320		459087
SZ000901	航天科技	+10.00%		30.25		--		--		--		16.05%		0.84		--		--		--		汽车零部件	--		--		--		+35.71%		+21.88%		-1.78		9818351		4945875
SZ000902	新洋丰		+0.44%		15.82		--		--		--		0.83%		1.09		--		--		--		农化制品	--		--		--		-0.63%		+5.33%		-0.06		363594		730884
SZ000903	ST云动		+1.12%		2.70		--		--		--		1.32%		1.20		--		--		--		汽车零部件	--		--		--		+1.12%		-3.23%		-0.37		484386		571320
SZ000905	厦门港务	+0.14%		14.19		--		--		--		11.29%		1.48		--		--		--		港口航运	--		--		--		+3.50%		-2.27%		+1.62		31183200	10407159
SZ000906	浙商中拓	+0.50%		5.98		--		--		--		0.80%		1.11		--		--		--		物流		--		--		--		+0.34%		+0.67%		+0.00		145775		89700
SZ000908	*ST景峰		+5.03%		7.51		--		--		--		0.55%		0.32		--		--		--		化学制药	--		--		--		+0.81%		-2.72%		+5.03		15907682	62333
SZ000909	ST数源		+0.18%		5.52		--		--		--		0.26%		0.43		--		--		--		房地产		--		--		--		+2.03%		-0.72%		+0.00		27550		320160
SZ000910	大亚圣象	-0.13%		7.74		--		--		--		0.81%		0.73		--		--		--		家居用品	--		--		--		+4.31%		+4.45%		+0.00		211575		494586
SZ000911	广农糖业	+0.81%		7.45		--		--		--		1.33%		0.94		--		--		--		农产品加工	--		--		--		-1.06%		-4.36%		-0.41		197984		283100
SZ000912	泸天化		+0.47%		4.24		--		--		--		0.47%		0.76		--		--		--		农化制品	--		--		--		+1.68%		-0.70%		-0.24		191555		336656
SZ000913	钱江摩托	+0.71%		15.56		--		--		--		0.89%		0.85		--		--		--		汽车服务及其他	--		--		--		+3.11%		+0.71%		-0.06		30880		1288368
SZ000915	华特达因	-0.39%		33.34		--		--		--		1.18%		0.86		--		--		--		化学制药	--		--		--		+0.54%		+1.52%		+0.00		307924		356738
SZ000917	电广传媒	-1.97%		10.96		--		--		--		9.83%		0.80		--		--		--		文化传媒	--		--		--		+9.60%		+18.61%		-2.24		26803366	17942397
SZ000919	金陵药业	+0.52%		7.74		--		--		--		2.12%		0.52		--		--		--		化学制药	--		--		--		+3.06%		+6.91%		-0.26		960000		1924164
SZ000920	沃顿科技	+1.26%		12.82		--		--		--		1.44%		1.42		--		--		--		塑料制品	--		--		--		+2.56%		+6.66%		+0.16		205416		1524298
SZ000921	海信家电	-0.72%		24.68		--		--		--		0.98%		1.07		--		--		--		白色家电	--		--		--		-1.48%		-5.44%		-0.24		647280		2321598
SZ000922	佳电股份	+3.65%		14.50		--		--		--		4.09%		1.86		--		--		--		电机		--		--		--		+10.10%		+15.72%		-0.29		376650		2417150
SZ000923	河钢资源	-2.82%		22.71		--		--		--		3.66%		1.18		--		--		--		钢铁		--		--		--		+18.10%		+21.44%		-1.63		6191207		6922008
SZ000925	众合科技	+1.23%		9.02		--		--		--		5.84%		0.89		--		--		--		轨交设备	--		--		--		+5.99%		+4.40%		-0.45		1312760		4005782
SZ000926	福星股份	+2.17%		2.35		--		--		--		2.58%		1.55		--		--		--		房地产		--		--		--		+1.29%		-2.89%		-0.43		243885		1165130
SZ000927	中国铁物	+0.38%		2.64		--		--		--		0.69%		0.95		--		--		--		物流		--		--		--		+1.15%		-0.38%		+0.00		707207		707256
SZ000928	中钢国际	+1.52%		6.68		--		--		--		2.18%		1.08		--		--		--		建筑装饰	--		--		--		+1.98%		+3.89%		-0.15		1268667		2808272
SZ000929	*ST兰黄		-1.42%		9.71		--		--		--		3.69%		1.54		--		--		--		饮料制造	--		--		--		+9.72%		+13.30%		-0.51		2240280		415588
SZ000930	中粮科技	+0.51%		5.91		--		--		--		0.68%		1.08		--		--		--		农产品加工	--		--		--		+2.25%		+2.07%		+0.00		246960		1252920
SZ000931	中 关 村	+1.01%		5.00		--		--		--		1.17%		1.14		--		--		--		化学制药	--		--		--		+1.42%		-2.34%		+0.00		55440		351000
SZ000932	华菱钢铁	-0.53%		5.63		--		--		--		1.26%		0.97		--		--		--		钢铁		--		--		--		+1.26%		+5.83%		-0.71		1615750		1884265
SZ000933	神火股份	-2.56%		29.30		--		--		--		2.11%		0.80		--		--		--		工业金属	--		--		--		+9.45%		+11.58%		-1.10		6254322		6806390
SZ000935	四川双马	-0.11%		27.26		--		--		--		1.26%		1.01		--		--		--		多元金融	--		--		--		+6.15%		+12.04%		-0.99		1759002		2360716
SZ000936	华西股份	-2.24%		8.72		--		--		--		7.45%		0.79		--		--		--		化学纤维	--		--		--		+10.66%		+20.28%		+0.00		4451972		4646016
SZ000937	冀中能源	-0.55%		5.47		--		--		--		0.82%		1.31		--		--		--		煤炭开采加工	--		--		--		+2.24%		-3.19%		+0.36		1444584		1438829
SZ000938	紫光股份	+1.14%		25.69		--		--		--		2.32%		1.30		--		--		--		IT服务		--		--		--		+4.05%		+0.82%		+0.24		6619600		17620771
SZ000948	南天信息	+2.42%		18.65		--		--		--		4.52%		1.26		--		--		--		软件开发	--		--		--		+11.28%		+8.75%		-0.99		1188177		4569250
SZ000949	新乡化纤	+1.16%		6.09		--		--		--		5.79%		1.31		--		--		--		化学纤维	--		--		--		+19.65%		+33.26%		-0.17		7162718		3868977
SZ000950	重药控股	+0.68%		5.96		--		--		--		2.06%		0.68		--		--		--		医药商业	--		--		--		-11.31%		+11.82%		+0.00		674880		2644452
SZ000951	中国重汽	-1.18%		16.80		--		--		--		1.27%		1.01		--		--		--		汽车整车	--		--		--		-0.12%		-0.06%		-0.35		687764		2142000
SZ000952	广济药业	+5.48%		8.27		--		--		--		15.22%		1.42		--		--		--		化学制药	--		--		--		+14.23%		+4.82%		+4.34		7453616		7386764
SZ000953	河化股份	+0.55%		7.29		--		--		--		1.64%		0.68		--		--		--		化学制药	--		--		--		-3.06%		-9.55%		+0.00		593775		1146717
SZ000955	欣龙控股	+0.34%		5.92		--		--		--		4.49%		0.75		--		--		--		纺织制造	--		--		--		-11.77%		-9.76%		-0.51		530061		1778960
SZ000957	中通客车	-1.12%		11.46		--		--		--		2.50%		0.76		--		--		--		汽车整车	--		--		--		-0.78%		+3.80%		-0.60		283392		3225956
SZ000958	电投产融	+0.15%		6.57		--		--		--		0.65%		1.01		--		--		--		电力		--		--		--		+1.08%		-1.05%		-0.61		1427880		2821815
SZ000959	首钢股份	+0.80%		5.05		--		--		--		0.60%		1.10		--		--		--		钢铁		--		--		--		+3.70%		+17.17%		-0.20		1295500		2515910
SZ000960	锡业股份	-2.58%		31.37		--		--		--		3.02%		0.91		--		--		--		小金属		--		--		--		+12.40%		+24.14%		-0.93		19739720	7142949
SZ000962	东方钽业	+0.57%		35.40		--		--		--		5.53%		1.01		--		--		--		小金属		--		--		--		+18.63%		+29.01%		-0.57		6639500		7660560
SZ000963	华东医药	-0.28%		39.05		--		--		--		0.47%		0.89		--		--		--		化学制药	--		--		--		-3.10%		-6.44%		+0.10		1113280		2323787
SZ000965	天保基建	+2.02%		4.05		--		--		--		3.52%		1.47		--		--		--		房地产		--		--		--		+4.65%		-0.25%		+0.25		486356		925036
SZ000966	长源电力	+0.23%		4.32		--		--		--		0.35%		0.86		--		--		--		电力		--		--		--		+0.23%		+0.93%		-0.23		147490		1050192
SZ000967	盈峰环境	-0.83%		7.18		--		--		--		0.72%		0.74		--		--		--		环保设备	--		--		--		+4.06%		+5.90%		+0.00		69504		1924240
SZ000968	蓝焰控股	+0.29%		6.92		--		--		--		1.26%		0.84		--		--		--		油气开采及服务	--		--		--		+4.53%		+3.44%		-0.43		177933		804796
SZ000969	安泰科技	+1.82%		22.90		--		--		--		12.55%		1.36		--		--		--		金属新材料	--		--		--		+14.27%		+23.12%		+0.13		17038632	23046560
SZ000970	中科三环	-1.28%		13.86		--		--		--		2.45%		1.17		--		--		--		金属新材料	--		--		--		+6.45%		+5.48%		-1.00		1747230		4762435
SZ000972	*ST中基		-0.49%		4.04		--		--		--		1.25%		0.61		--		--		--		农产品加工	--		--		--		+6.88%		+4.39%		-0.74		139035		550652
SZ000973	佛塑科技	-6.00%		14.10		--		--		--		7.29%		0.78		--		--		--		塑料制品	--		--		--		+9.05%		+15.57%		-0.87		3145005		8850570
SZ000975	山金国际	-1.08%		24.70		--		--		--		1.12%		0.79		--		--		--		贵金属		--		--		--		-2.95%		+14.67%		-0.68		2333680		6229340
SZ000977	浪潮信息	-0.44%		67.12		--		--		--		4.48%		1.55		--		--		--		计算机设备	--		--		--		+3.26%		+4.26%		+0.04		15277425	24894808
SZ000978	桂林旅游	-0.97%		7.12		--		--		--		2.48%		0.73		--		--		--		旅游及酒店	--		--		--		+3.49%		+5.79%		-0.14		541372		378072
